date,from,value,comment,lt
2024-11-18 16:54:44,EQD0MgmNJrVDhu0JnzN7Yd4ZR6FL0maY6GveDJMMJNP1JMDz,1.0,1 TON Ref#GEYDKOBTHA======,51014973000001
2024-11-18 16:54:42,EQDMN9JgagdoUhbpiQ-J8AeFnEZ0VudbApovSeXJshdnwTZm,1.64,1.64 TON Ref#GEYDKNZYGU======,51014972000001
2024-11-18 16:54:46,EQBxKUxgM6wEnlZTHkDKTcGpSjNl1DovmZJUhLkzcHlPhrxW,1.0,1 TON Ref#GEYDKOBTGU======,51014971000003
2024-11-18 16:54:40,EQCgVRIsYgCaYsdVLQUz0XCjyM77fjSZhvP_mz3QUQ6qHZJf,5.0,5 TON Ref#GEYDKOBTGM======,51014971000001
2024-11-18 16:54:41,EQB1hrZ5N8OVqXQR36Ruq-qajN79NNorfqNQqeQy3gjdhNfn,1.0,1 TON Ref#GEYDKOBTGY======,51014969000005
2024-11-18 16:54:41,EQBEPgqPE_cozVNGT3g2UtPfG7eOYRkEhg4Sn0UujcN02ZlY,4.81,4.81 TON Ref#GEYDKOBTGE======,51014969000004
2024-11-18 16:54:41,EQBQcA_Jt8FdpiUImp4IsX4ktkGAHpNN5-tUlG9T7k9vdSoG,1.0,1 TON Ref#GEYDKNZZHA======,51014969000003
2024-11-18 16:54:34,EQAHsVt1vXibldjRjloc-_9Pb2-ZBXz2LQVq5nsozRpbKSTs,2.66,2.66 TON Ref#GEYDKNZXGY======,51014969000002
2024-11-18 16:54:34,EQDmIvqaQ-jftKUNZ5TQD0dyudDf0Tl5bbKZNiSHeCzl_n-m,4.2,4.2 TON Ref#GEYDKNZXG4======,51014969000001
2024-11-18 16:54:30,EQDUAuZJGhgtAidUu5ILbD3edWLyWIkdOFYw9fDg6vmvyIYZ,0.14,0.14 TON Ref#GEYDKNZVGQ======,51014968000003
2024-11-18 16:54:31,EQAxny2Eqlwh5nmHyL7er_me7XdHS83NL_R7K3bKTYKYj0yM,1.79,1.79 TON Ref#GEYDKOBSHA======,51014968000002
2024-11-18 16:54:31,EQAINeV6wcqU8mVbf6RtTeHBIEmjDBKX_KfALHLSto6Z1tfX,2.4,2.4 TON Ref#GEYDKOBRGY======,51014968000001
2024-11-18 16:54:36,EQBnBgHivtQMSGUPJ0EWilThDzQDjETWb1hPYtrpuB0V_ttd,2.95,2.95 TON Ref#GEYDKOBTGQ======,51014967000003
2024-11-18 16:54:29,EQAq44ScymHJXhcfEWG5mASv46WDcWmDtID9CThDTowltZEP,1.0,1 TON Ref#GEYDKOBSGU======,51014967000001
2024-11-18 16:54:24,EQDs13DN7NW6uU1HzyJZuv-2Ryfq5Ss7Von_b6Yrk-SlAUNw,1.0,1 TON Ref#GEYDKOBSGY======,51014965000005
2024-11-18 16:54:23,EQAqR5ETIsp1KFlKWH3El0A-DlPUGj9YFuaP1cZgFRkgF4ft,1.0,1 TON Ref#GEYDKOBSGE======,51014965000004
2024-11-18 16:54:21,EQDUAuZJGhgtAidUu5ILbD3edWLyWIkdOFYw9fDg6vmvyIYZ,0.14,0.14 TON Ref#GEYDKNZVGQ======,51014965000003
2024-11-18 16:54:20,EQAwQHMWAQKt_TR-UUxDHyhXBidnLBy0jahJt1tfMlgF5nTD,3.0,3 TON Ref#GEYDKOBRHE======,51014965000002
2024-11-18 16:54:20,EQA66wl3OLUUdNITryhLguxuRfYnVfHzcBpb3Z48rGJ0rrbU,5.0,5 TON Ref#GEYDKOBSGA======,51014965000001
2024-11-18 16:54:06,EQA4izAVmcFh9lGjOAowHvKQ9HjY3EvfQx2hMJKWojScvkaT,5.0,5 TON Ref#GEYDKNZQHE======,51014958000001
2024-11-18 16:53:57,EQDL8wyOOQgCeHfVs8t_ApAcelSXmxQMQGAHKgjJ-68Jg7-p,3.31,3.31 TON Ref#GEYDKNJZGU======,51014954000001
