date,from,value,comment
2024-11-13 20:02:06,EQCBm2yFsjSwwhno_XJMBCYAFnWtWLtJZb5N7uSd3-mQs-Yz,5.0,5 TON Ref#GAZTGNJZGU======
2024-11-13 20:02:07,EQDaoY-7XpnPpTxLLM56oyLQ0agBcthnS9nsBVVsa_pfs95G,5.0,5 TON Ref#GAZTGNJZGQ======
2024-11-13 20:02:13,EQAkZ9fwLHNOz_PG8oJ0vz9GjfWkkQkax6r5x5_hZwav7eUQ,3.09,3.09 TON Ref#GAZTGNJZGY======
2024-11-13 20:02:14,EQDWjza1JT4t75-ifa8HJmBurv6ECrL33srSaJ3GFmSAxV40,2.5,2.5 TON Ref#GAZTGNRQGA======
2024-11-13 20:02:21,EQDS_uggUBBP1HOSezwYLL2_gKUppJF8LBFZ9BMpOZ76FrlT,5.0,5 TON Ref#GAZTGNRQGI======
2024-11-13 20:02:23,EQCRxSB-7nsKnup32uV0u8NpIPCgP671UyzIvw2Qgt6A_Ryh,4.95,4.95 TON Ref#GAZTGNRQGE======
2024-11-13 20:02:28,EQD90sKzMq-7PuqLWlf5iN4E-jPRaHWg7YQXL6M9TYymfp-z,2.51,2.51 TON Ref#GAZTGNRQGU======
2024-11-13 20:02:28,EQAGRO6ht0XlMh9wXSD8ZQK1T0SCzl8bmh_958y8EXQONPWw,3.0,3 TON Ref#GAZTGNRQGY======
2024-11-13 20:02:39,EQAlH2530k1cYxEcNcobuc_FWNurHvSwGnLNJLgpu2MwT0AP,5.0,5 TON Ref#GAZTGNRRGE======
2024-11-13 20:02:41,EQBG0Kz2rBRBW_YdYAykU9-a_JGdfrnENoS2SoyJvO2n5jCc,1.78,1.78 TON Ref#GAZTGNRRGI======
2024-11-13 20:02:47,EQBmSrsbvXBkvENiEB7OPI3VmSe42ejpt7XpV2bIIuydzBHg,2.97,2.97 TON Ref#GAZTGNRRGM======
2024-11-13 20:02:50,EQBoLT_m8b2uby-ZHgXeaEtHS4dP0cKpCpFG5fa4OlKklCol,2.59,2.59 TON Ref#GAZTGNRRGU======
2024-11-13 20:02:57,EQAR37_wHFG2cMuevinXQmaOeNfgI0Y7KlBP5pcsisUw0KXe,5.0,5 TON Ref#GAZTGNRRG4======
2024-11-13 20:03:00,EQBGiVQ-FG5njdjOLlssDjpL_EZuXvT5Rwd_zPy3bUd-Lx_7,3.15,3.15 TON Ref#GAZTGNRRHE======
2024-11-13 20:03:09,EQDhIZOuu4Kidlp_x36Axnd3_yAHhhVl49JtmK0lszogZVFc,5.0,5 TON Ref#GAZTGNRSGA======
2024-11-13 20:03:10,EQBDFPyBc3xIwT0fXHOKeW1ao363_QMD31_6MhF9vJjjCQXP,3.68,3.68 TON Ref#GAZTGNRSGM======
2024-11-13 20:03:24,EQB6J4eCsuW6XPhNNLZET8Dli6C8534WsXEsQ29DcaIXwrBT,5.0,5 TON Ref#GAZTGNRSGU======
2024-11-13 20:03:28,EQCSE6GGyXThwcLC1RoMaNT3Kvfwhz6eGEBsMLJ-RlarNx2r,4.7,4.7 TON Ref#GAZTGNRSG4======
2024-11-13 20:03:36,EQBjR3NzLau0oqb76uuQqpZy27EBoh22p3QONDWwNA7wBhPu,3.81,3.81 TON Ref#GAZTGNRSHE======
2024-11-13 20:03:37,EQCBAMF2zxKlxLjQVOvX0Vbi9hvXRmfl_rl5264o4k2nlXj3,2.98,2.98 TON Ref#GAZTGNRTGE======
2024-11-13 20:03:37,EQCtQoq1vWICSmvx7w61i6EmTbAvy6vbLR6M8qnD8MAOCW0-,2.45,2.45 TON Ref#GAZTGNRTGA======
2024-11-13 20:03:41,EQC1MURu3cqDHmN6YKBNhbOkMIG2Spm6xho1Pwm2XRck-Llj,5.0,5 TON Ref#GAZTGNRSHA======
2024-11-13 20:03:42,EQDzD8Q56YwzXkVtN0rVz1cA0sbFzZGyBQg1T9YteVwH78cO,2.5,2.5 TON Ref#GAZTGNRTGQ======
2024-11-13 20:03:42,EQAt9m1YQH73qNL6Q9RgsBfVzxblimGTy0jMW51hl6VVUKZU,4.85,4.85 TON Ref#GAZTGNRTGU======
2024-11-13 20:03:51,EQCku2Rt-aU7_AiNG-7Lz66ruaywXDFXUGL8kbJ8UaEFwS4G,5.0,5 TON Ref#GAZTGNRTHA======
2024-11-13 20:03:57,EQAvQcxSEaF6zCngUovud0W1BG6QPcL5ZiemnZ3hUg2fhJ7A,3.03,3.03 TON Ref#GAZTGNRUGI======
2024-11-13 20:04:00,EQAayZHtcw2GhzSwQh6maQwTrAClxGgDh6Uq32cgwVbGMLOf,1.53,1.53 TON Ref#GAZTGNRUGM======
2024-11-13 20:04:07,EQAOyCuqFNYQAwiLvFKEWAhVnBeGx5W1oRu1pYcWcjZkM8Q0,1.23,1.23 TON Ref#GAZTGNRVGA======
2024-11-13 20:04:07,EQAQI5OvvlIKTkHZRoiPK6FnycXvstQx3b5BSG-hyuY2748t,5.0,5 TON Ref#GAZTGNRUGQ======
2024-11-13 20:04:07,EQCuQKfLKFP_YsF_anpjWvp9sGUwhlyDYSVycY_wDcAzei8c,3.0,3 TON Ref#GAZTGNRUGY======
2024-11-13 20:04:20,EQAw3stXb5IbgUZWzyQsehEorxe4hZIrGhZ0VQ2KgDA31KE9,3.88,3.88 TON Ref#GAZTGNRVGM======
2024-11-13 20:04:20,EQAvuMD5iwK5vIcTUKZlaH4HRvEXLFmjP73hcvuVcsFw0a3_,4.73,4.73 TON Ref#GAZTGNRVHA======
2024-11-13 20:04:26,EQCvxy_upMARJuBpDhCtiXs24TwsoW4fXQfIucewT3aX7ap9,3.62,3.62 TON Ref#GAZTGNRWGE======
2024-11-13 20:04:26,EQBzPsV3OJbqo0rAQrzibgFvaMy6f6Wsyf7SR9ocrftO8jwj,2.87,2.87 TON Ref#GAZTGNRWGA======
2024-11-13 20:04:30,EQDC3GNhs6cfAwbTOtOSwksK4z0EEvYl9HBfPoGid5FbL344,2.45,2.45 TON Ref#GAZTGNRWGI======
2024-11-13 20:04:31,EQBjGqSdaKD6jM_f97EgizG2AqYmMh_qS-8pOWomx1qTyenG,2.85,2.85 TON Ref#GAZTGNRWGQ======
2024-11-13 20:04:31,EQAvXJfJyISkHjoR0119cDbjB_JHXvzLJLlVWvsIJ7Uhl2eV,5.0,5 TON Ref#GAZTGNRVHE======
2024-11-13 20:04:32,EQBKgwSSWTSKY8OW04IUMTs-SKrNP_w3OQW0-LDMhL_Edusf,2.65,2.65 TON Ref#GAZTGNRWGU======
2024-11-13 20:04:37,EQAHYiulMMzyLTFH4X3zzayFiieXPEsjhK4oHHVUQqik2MmJ,2.46,2.46 TON Ref#GAZTGNRWGM======
2024-11-13 20:04:37,EQCCsVhweAlPjRIOnvbSssTu12PcIq_XCHHctGukf0_TAJho,5.0,5 TON Ref#GAZTGNRWHA======
2024-11-13 20:04:41,EQBBpQ3dHVV_cd46S2nN5xD2AlbMAyt_p7qpKVaS2d9Mlfog,5.0,5 TON Ref#GAZTGNRWG4======
2024-11-13 20:04:45,EQCoyAqyeQhDw8O_bdjvC73oOlS4rNnYgz45EYPx0YFu09F1,2.28,2.28 TON Ref#GAZTGNRXGE======
2024-11-13 20:04:48,EQC9CQ_-7jRBszfFq-f_GqijdBXf9VYtBNTF9Wjrhvy4TRM9,2.55,2.55 TON Ref#GAZTGNRXGM======
2024-11-13 20:04:51,EQCQe3Z8-eLGTcMMQu043RarELOLSKfyDat4m54bbFGIHRwB,2.0,2 TON Ref#GAZTGNRXGQ======
2024-11-13 20:05:02,EQAt_V50zZzQW7hjFtqaj20ZPnN7fp4F5X_cKQWxkt_DMEl9,2.1,2.1 TON Ref#GAZTGNRYGU======
2024-11-13 20:05:06,EQAztAtRUIebSCoV0CSJBQw6kXFgMEIISiqJP_t8qHhKdTdm,2.33,2.33 TON Ref#GAZTGNRYGQ======
2024-11-13 20:05:06,EQDdOqZniokiaT9zvJA-JvyY0NV9tyTK4GsFa8jw0vCfrEAm,3.68,3.68 TON Ref#GAZTGNRYGM======
2024-11-13 20:05:06,EQDIKNl2gpMtdRWxc390SFJCvpfX4lfoOa4q7Q_IKODULyKF,3.27,3.27 TON Ref#GAZTGNRYGI======
2024-11-13 20:05:10,EQDKkZZgasl_Sxv88RSH127FY4AxtmJ7-HhpjTJfB5QQJgXP,1.83,1.83 TON Ref#GAZTGNRYGE======
2024-11-13 20:05:11,EQCq4fz68tcPMwyarjVdv_RW5CZO6zZprSc3O46v8Q5LLso-,3.68,3.68 TON Ref#GAZTGNRYHA======
2024-11-13 20:05:19,EQD1mrro_9wXaedxGAFLo6VmUy5VIiM36Z-Kd9JHwKzSdt2a,2.16,2.16 TON Ref#GAZTGNRZGE======
2024-11-13 20:05:26,EQDvVarzDxQuoV9lm7ZVenCMKds5oxh8rkhMfoG85-e0BAVi,5.0,5 TON Ref#GAZTGNRZGM======
2024-11-13 20:05:29,EQA6vR8Lriwc9kxvmwSv1D4cyQHCYlvZFUlQkAvI1zQ6SLnZ,3.04,3.04 TON Ref#GAZTGNRZGA======
2024-11-13 20:05:31,EQCsHVb_WSfEw1x-A1I9uGY7G0FM5YsdVvooQDJ_gplTHaAp,3.68,3.68 TON Ref#GAZTGNRZGI======
2024-11-13 20:05:37,EQBgBrj57fkyICSTHb6S3eMQNVo1nJ6cYahjatBljUflgA6v,3.13,3.13 TON Ref#GAZTGNRZHA======
2024-11-13 20:05:50,EQAI7kACPsGHmkHRilkoEqReWy-f7whmh3N6FZJgDdR0rGa8,5.0,5 TON Ref#GAZTGNZQGE======
2024-11-13 20:05:52,EQCzF1WTOknznj2TGvVBsFxD6Nw5oAMdGO9wnEy4ct_PalkJ,2.22,2.22 TON Ref#GAZTGNRZHE======
2024-11-13 20:05:54,EQBF2NjjRzKSZpzCZevhl23VCdY4FDnWpxBQX5zlxNck4-Th,4.47,4.47 TON Ref#GAZTGNZQG4======
2024-11-13 20:06:01,EQBpHTy7ArKTN_HnqNlsYBhTeE2s1l7r7vfaFXI4tlggZUNu,3.6,3.6 TON Ref#GAZTGNZRGY======
2024-11-13 20:06:01,EQBfj9qJdy-tiiqU7Dd5BQjDF3lLhP60ssgu6ghTgmhoLmEK,2.66,2.66 TON Ref#GAZTGNZQGY======
2024-11-13 20:06:02,EQA8UxA8c4lLRvaAzlI7LldnyE4QfHuFCOq2kSaVKW1_E68j,5.0,5 TON Ref#GAZTGNZQHE======
2024-11-13 20:06:05,EQDBitheagbSfyu4X5nJt3ryoA4F2eq9ItWu6qUQqWAnXMTu,2.44,2.44 TON Ref#GAZTGNZRGA======
2024-11-13 20:06:07,EQB4Xjwbimkx-e4AUMI5DVSoNw7mqh3q1trjSfXd3BE5ThZ_,3.73,3.73 TON Ref#GAZTGNZRHA======
2024-11-13 20:06:07,EQBL4amX2OjbeDd6Xs2DLyyr_3IaiGq5hg98_97dJN6vMPjh,5.0,5 TON Ref#GAZTGNZRHE======
2024-11-13 20:06:15,EQCwMimZsI_7lvXFB9XteSQHzypvpz1AcM3YqY59o5PvUw9h,2.21,2.21 TON Ref#GAZTGNZSGE======
2024-11-13 20:06:29,EQD3Q3WZ6Zf8RL3STGSCsB43tzFVytGr0lspL-FrucWEpeuB,3.41,3.41 TON Ref#GAZTGNZSGM======
2024-11-13 20:06:38,EQBmmn5oF-_TwHiifi4yeyi_TZ0uwNBkPm2q51JVL2ooZAUK,2.56,2.56 TON Ref#GAZTGNZSGI======
2024-11-13 20:06:42,EQDDPrYyhpum3Uk1LAIPAPbTndiT2Nk6uDLnqLIwwG7cRPcD,1.79,1.79 TON Ref#GAZTGNZSGU======
2024-11-13 20:06:46,EQCfbwbe1FCwEGb-5mjCQYvU25b1vRnl1i4fACEUtB9T8Kl8,3.18,3.18 TON Ref#GAZTGNZSG4======
