date,from,value,comment,lt
2024-11-18 07:48:32,EQCoOqQsKfkAT1cCgmcy1fhGnxJzKDHSwgVKFN-pK61FPrLh,5.0,5 TON Ref#GEYDCNJQG4======,51002494000001
2024-11-18 07:45:55,EQAbuS2EJ0mzjb9U9GDDv78lMdqj0RZHmi68RmyjeQZ-y45W,1.0,1 TON Ref#GEYDCNJQGU======,51002432000001
2024-11-18 07:44:35,EQB5G-igSx88EO-3gdzDabQIkOoZJakpx45WLQ-_HD49dBYA,2.55,2.55 TON Ref#GEYDCNJQGE======,51002394000003
2024-11-18 07:44:29,EQDJTyl1ULEPq-eeSN3igYdL9bp6uHMSCHZxICsIyEKkTfVa,1.0,1 TON Ref#GEYDCNJQGA======,51002394000001
2024-11-18 07:44:09,EQCs4A4_UTX7mSDUjbxvo6qB3jZ5gPYmxncJdv9CHzcdj64M,1.0,1 TON Ref#GEYDCNBZHE======,51002386000001
2024-11-18 07:43:51,EQAWRIdFibuwyoDS6zLcVbMwSjx1ufVlsUXfTrDuG5PEqOKZ,5.0,5 TON Ref#GEYDCNBZHA======,51002379000001
2024-11-18 07:43:36,EQB9mdCEq826jsiUKvY4kyeKB_kJ1IBgQmiohiLh2J4eiDwT,3.8,3.8 TON Ref#GEYDCNBZGY======,51002369000003
2024-11-18 07:43:17,EQBQbYBaiI_1ljDvo9BYbW6RsqDVU6SydxlUMUwbqbF8O4O9,1.0,1 TON Ref#GEYDCNBZGU======,51002362000003
2024-11-18 07:43:08,EQDJTyl1ULEPq-eeSN3igYdL9bp6uHMSCHZxICsIyEKkTfVa,1.0,1 TON Ref#GEYDCNBZGQ======,51002362000001
2024-11-18 07:42:41,EQAWRIdFibuwyoDS6zLcVbMwSjx1ufVlsUXfTrDuG5PEqOKZ,3.7,3.7 TON Ref#GEYDCNBZGE======,51002351000002
2024-11-18 07:42:41,EQDvKPwDLTycQx4HU3jtWe0qQIxjAqRw7FPuLgDtWvSvC74b,1.0,1 TON Ref#GEYDCNBZGI======,51002351000001
2024-11-18 07:42:38,EQCs4A4_UTX7mSDUjbxvo6qB3jZ5gPYmxncJdv9CHzcdj64M,1.0,1 TON Ref#GEYDCNBZGM======,51002350000001
2024-11-18 07:40:58,EQDJTyl1ULEPq-eeSN3igYdL9bp6uHMSCHZxICsIyEKkTfVa,1.0,1 TON Ref#GEYDCNBYG4======,51002311000001
2024-11-18 07:40:55,EQCs4A4_UTX7mSDUjbxvo6qB3jZ5gPYmxncJdv9CHzcdj64M,1.0,1 TON Ref#GEYDCNBYHA======,51002310000001
2024-11-18 07:40:23,EQBQbYBaiI_1ljDvo9BYbW6RsqDVU6SydxlUMUwbqbF8O4O9,1.0,1 TON Ref#GEYDCNBYGY======,51002294000003
2024-11-18 07:40:10,EQDvKPwDLTycQx4HU3jtWe0qQIxjAqRw7FPuLgDtWvSvC74b,1.0,1 TON Ref#GEYDCNBYGU======,51002293000001
2024-11-18 07:39:35,EQCs4A4_UTX7mSDUjbxvo6qB3jZ5gPYmxncJdv9CHzcdj64M,1.0,1 TON Ref#GEYDCNBYGM======,51002277000001
2024-11-18 07:39:32,EQDQH_8dtqVOz6igpPNsqx6Q-d-XKRhJ7yUHwMtv2lEnXgU3,1.0,1 TON Ref#GEYDCNBYGI======,51002276000001
2024-11-18 07:39:22,EQCGcDLV8FPu7twsvqE76-iOkOyxl7XsJv28SeYLWCUDKvhT,1.0,1 TON Ref#GEYDCNBYGE======,51002272000001
2024-11-18 07:38:33,EQDvKPwDLTycQx4HU3jtWe0qQIxjAqRw7FPuLgDtWvSvC74b,1.0,1 TON Ref#GEYDCNBYGA======,51002253000001
2024-11-18 07:37:59,EQCs4A4_UTX7mSDUjbxvo6qB3jZ5gPYmxncJdv9CHzcdj64M,1.0,1 TON Ref#GEYDCNBXG4======,51002243000001
2024-11-18 07:37:56,EQBQbYBaiI_1ljDvo9BYbW6RsqDVU6SydxlUMUwbqbF8O4O9,1.0,1 TON Ref#GEYDCNBXHE======,51002239000003
2024-11-18 07:37:45,EQAoBElX4bPOgUOlg5-9EMv-KgW281fDnfI3f0LXxKX2H1E2,3.5,3.5 TON Ref#GEYDCNBXHA======,51002238000001
